ID-model,GO:0003674,GO:0016787,GO:0003824,GO:0005488
BLAST-S11,NaN,0.78,0.73,0.56
BLAST-S14,NaN,0.86,0.75,0.68
Naive-S11,NaN,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50
101-1,NaN,0.95,0.84,0.39
101-2,NaN,0.93,0.95,0.66
101-3,NaN,1.00,0.99,0.74
102-1,NaN,0.91,0.93,0.76
102-2,NaN,0.82,0.91,0.68
102-3,NaN,0.44,0.53,0.47
103-1,NaN,0.77,0.86,0.64
103-2,NaN,1.00,0.94,0.74
103-3,NaN,0.96,0.95,0.71
104-1,NaN,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50
105-1,NaN,0.96,0.95,0.61
105-2,NaN,0.97,0.98,0.59
105-3,NaN,0.93,0.87,0.58
106-1,NaN,0.76,0.83,0.61
106-2,NaN,0.60,0.72,0.52
106-3,NaN,0.71,0.79,0.58
107-1,NaN,0.98,0.95,0.40
107-2,NaN,0.94,0.96,0.60
107-3,NaN,0.94,0.94,0.58
108-1,NaN,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50
110-1,NaN,0.88,0.88,0.80
110-2,NaN,0.92,0.90,0.75
110-3,NaN,0.62,0.57,0.71
111-1,NaN,0.88,0.88,0.80
111-2,NaN,0.62,0.57,0.71
111-3,NaN,0.50,0.50,0.50
112-1,NaN,0.94,0.93,0.81
112-2,NaN,0.94,0.93,0.82
112-3,NaN,0.92,0.90,0.74
113-1,NaN,0.93,0.90,0.75
113-2,NaN,0.47,0.55,0.63
113-3,NaN,0.84,0.83,0.69
114-1,NaN,0.99,0.96,0.65
115-1,NaN,0.99,0.98,0.69
116-1,NaN,1.00,0.97,0.70
116-2,NaN,0.88,0.85,0.62
117-1,NaN,0.94,0.86,0.70
117-2,NaN,0.75,0.72,0.61
119-1,NaN,0.96,0.97,0.66
120-1,NaN,0.99,0.96,0.68
120-2,NaN,0.52,0.64,0.56
120-3,NaN,0.41,0.74,0.58
121-1,NaN,0.96,0.92,0.53
121-2,NaN,0.50,0.52,0.50
121-3,NaN,1.00,0.96,0.75
122-1,NaN,0.96,0.96,0.66
124-1,NaN,0.57,0.10,0.74
124-2,NaN,0.42,0.10,0.46
124-3,NaN,0.16,0.07,0.74
125-1,NaN,0.99,0.96,0.65
125-2,NaN,0.99,0.96,0.51
125-3,NaN,0.91,0.92,0.76
126-1,NaN,0.50,0.50,0.50
127-1,NaN,0.91,0.91,0.70
127-2,NaN,0.92,0.91,0.66
127-3,NaN,0.50,0.50,0.50
128-1,NaN,0.88,0.82,0.62
129-1,NaN,0.96,0.89,0.72
129-2,NaN,0.50,0.50,0.50
129-3,NaN,0.96,0.89,0.72
130-1,NaN,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50
131-1,NaN,1.00,0.99,0.69
131-2,NaN,0.99,0.99,0.68
131-3,NaN,1.00,1.00,0.73
132-1,NaN,0.95,0.93,0.84
132-2,NaN,0.92,0.89,0.80
65-1,NaN,0.81,0.59,0.65
65-2,NaN,0.83,0.60,0.64
65-3,NaN,0.81,0.58,0.65
68-1,NaN,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50
69-1,NaN,0.99,0.96,0.70
69-2,NaN,0.99,0.98,0.70
70-1,NaN,0.84,0.79,0.72
70-2,NaN,0.87,0.58,0.75
70-3,NaN,0.89,0.57,0.72
72-1,NaN,1.00,0.97,0.65
72-2,NaN,0.54,0.51,0.70
73-1,NaN,0.90,0.84,0.70
73-2,NaN,0.90,0.84,0.70
73-3,NaN,0.81,0.63,0.54
74-1,NaN,0.64,0.69,0.62
74-2,NaN,1.00,0.93,0.69
75-1,NaN,1.00,0.97,0.68
75-2,NaN,1.00,0.97,0.68
79-1,NaN,0.79,0.85,0.61
79-2,NaN,0.79,0.80,0.58
79-3,NaN,0.96,0.94,0.67
80-1,NaN,0.73,0.74,0.62
80-2,NaN,1.00,0.92,0.69
81-1,NaN,0.96,0.95,0.68
81-2,NaN,0.96,0.95,0.68
82-1,NaN,0.89,0.87,0.65
83-1,NaN,0.95,0.30,0.74
83-2,NaN,0.98,0.30,0.76
84-1,NaN,0.64,0.78,0.69
85-1,NaN,0.94,0.95,0.81
85-2,NaN,0.94,0.95,0.81
86-1,NaN,0.50,0.54,0.62
86-2,NaN,0.50,0.54,0.62
86-3,NaN,0.50,0.51,0.62
87-1,NaN,1.00,1.00,0.69
87-2,NaN,1.00,1.00,0.64
87-3,NaN,1.00,0.99,0.60
88-1,NaN,0.94,0.91,0.59
89-1,NaN,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50
93-1,NaN,0.74,0.71,0.55
93-2,NaN,0.70,0.64,0.57
94-1,NaN,1.00,0.95,0.70
95-1,NaN,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50
97-1,NaN,0.50,0.50,0.50
97-2,NaN,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50
98-1,NaN,0.68,0.50,0.60
99-1,NaN,0.85,0.86,0.69
