ID-model,GO:0003674,GO:0005515,GO:0005488
BLAST-S11,NaN,0.70,0.64
BLAST-S14,NaN,0.73,0.53
Naive-S11,NaN,0.50,0.50
Naive-S14,NaN,0.50,0.50
101-1,NaN,0.75,0.25
101-2,NaN,0.59,0.40
101-3,NaN,0.93,0.64
102-1,NaN,0.76,0.78
102-2,NaN,0.81,0.81
102-3,NaN,NaN,NaN
103-1,NaN,NaN,NaN
103-2,NaN,NaN,NaN
103-3,NaN,1.00,0.69
104-1,NaN,NaN,NaN
104-2,NaN,NaN,NaN
104-3,NaN,NaN,NaN
105-1,NaN,0.59,0.43
105-2,NaN,0.82,0.39
105-3,NaN,0.42,0.33
106-1,NaN,0.64,0.86
106-2,NaN,0.50,1.00
106-3,NaN,0.50,0.50
107-1,NaN,0.78,0.53
107-2,NaN,0.73,0.61
107-3,NaN,NaN,NaN
108-1,NaN,NaN,NaN
109-1,NaN,NaN,NaN
110-1,NaN,0.43,0.47
110-2,NaN,0.83,0.71
110-3,NaN,0.83,0.54
111-1,NaN,0.39,0.44
111-2,NaN,0.81,0.56
111-3,NaN,NaN,NaN
112-1,NaN,0.86,0.81
112-2,NaN,0.86,0.75
112-3,NaN,0.82,0.67
113-1,NaN,0.82,0.58
113-2,NaN,0.53,0.83
113-3,NaN,0.31,0.24
114-1,NaN,0.64,0.44
115-1,NaN,0.92,0.50
116-1,NaN,0.56,0.59
116-2,NaN,0.57,0.75
117-1,NaN,0.65,0.67
117-2,NaN,0.58,0.44
119-1,NaN,0.86,0.64
120-1,NaN,0.69,0.38
120-2,NaN,0.70,0.51
120-3,NaN,0.50,0.43
121-1,NaN,0.67,0.56
121-2,NaN,1.00,1.00
121-3,NaN,0.78,0.88
122-1,NaN,0.76,0.71
124-1,NaN,0.26,0.38
124-2,NaN,0.26,0.57
124-3,NaN,0.26,0.38
125-1,NaN,0.64,0.44
125-2,NaN,0.64,0.35
125-3,NaN,0.62,0.75
126-1,NaN,NaN,NaN
127-1,NaN,0.73,0.53
127-2,NaN,0.72,0.51
127-3,NaN,NaN,NaN
128-1,NaN,0.52,0.19
129-1,NaN,0.68,0.39
129-2,NaN,NaN,NaN
129-3,NaN,0.68,0.39
130-1,NaN,NaN,NaN
130-2,NaN,NaN,NaN
130-3,NaN,NaN,NaN
131-1,NaN,0.70,0.61
131-2,NaN,0.56,0.52
131-3,NaN,0.73,0.58
132-1,NaN,0.89,0.89
132-2,NaN,0.89,0.72
65-1,NaN,0.40,0.36
65-2,NaN,0.40,0.50
65-3,NaN,0.39,0.49
68-1,NaN,NaN,NaN
68-2,NaN,NaN,NaN
69-1,NaN,0.84,0.74
69-2,NaN,0.76,0.75
70-1,NaN,0.84,0.86
70-2,NaN,0.50,0.43
70-3,NaN,0.76,0.51
72-1,NaN,0.82,0.61
72-2,NaN,0.70,0.73
73-1,NaN,0.89,0.39
73-2,NaN,0.89,0.39
73-3,NaN,0.62,0.50
74-1,NaN,1.00,0.60
74-2,NaN,0.75,0.69
75-1,NaN,0.84,0.71
75-2,NaN,0.76,0.72
79-1,NaN,0.80,0.64
79-2,NaN,0.78,0.50
79-3,NaN,0.94,0.72
80-1,NaN,0.83,0.58
80-2,NaN,0.81,0.65
81-1,NaN,0.73,0.51
81-2,NaN,0.73,0.51
82-1,NaN,0.45,0.45
83-1,NaN,0.83,0.42
83-2,NaN,0.83,0.42
84-1,NaN,0.26,0.38
85-1,NaN,0.70,0.53
85-2,NaN,0.70,0.53
86-1,NaN,0.78,0.73
86-2,NaN,0.78,0.73
86-3,NaN,0.83,0.78
87-1,NaN,0.61,0.50
87-2,NaN,0.49,0.32
87-3,NaN,0.70,0.67
88-1,NaN,0.76,0.76
89-1,NaN,NaN,NaN
89-2,NaN,NaN,NaN
89-3,NaN,NaN,NaN
91-1,NaN,NaN,NaN
91-2,NaN,NaN,NaN
91-3,NaN,NaN,NaN
93-1,NaN,NaN,NaN
93-2,NaN,NaN,NaN
94-1,NaN,0.82,0.75
95-1,NaN,NaN,NaN
95-2,NaN,NaN,NaN
96-1,NaN,NaN,NaN
96-2,NaN,NaN,NaN
96-3,NaN,NaN,NaN
97-1,NaN,NaN,NaN
97-2,NaN,NaN,NaN
97-3,NaN,NaN,NaN
98-1,NaN,0.58,0.57
99-1,NaN,0.91,0.67
